mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate
1.2693251132965089,0.00709599785488692,0.03163785934448242,0.0060918798797948565,,,"{'model__max_depth': 12, 'model__min_samples_leaf': 3, 'model__n_estimators': 250}",-0.10987952145345099,-0.11940373425218363,-0.09532626207263113,-0.12248162037789877,-0.09270263587964188,-0.10795875480716129,0.01214841191934788,8,Random forest,12,3.0,250.0,
2.5807570457458495,0.07627149733443979,0.058424854278564455,0.014012946482658346,,,"{'model__max_depth': 12, 'model__min_samples_leaf': 3, 'model__n_estimators': 500}",-0.11057900920706198,-0.11949788413964102,-0.09517704018839468,-0.12223977950185327,-0.0920840832310798,-0.10791555925360616,0.012323416751592086,6,Random forest,12,3.0,500.0,
1.0962600231170654,0.0673635571173928,0.027528762817382812,0.003530924955695155,,,"{'model__max_depth': 12, 'model__min_samples_leaf': 6, 'model__n_estimators': 250}",-0.11073133104153034,-0.12134834561240053,-0.09698359158235054,-0.12406792751209214,-0.09469534712689383,-0.10956530857505349,0.01208255670131945,10,Random forest,12,6.0,250.0,
2.1178845405578612,0.01688617418863574,0.04596767425537109,0.0046626816460095324,,,"{'model__max_depth': 12, 'model__min_samples_leaf': 6, 'model__n_estimators': 500}",-0.11149840363225165,-0.12167115764046052,-0.09672826571704823,-0.1244751766798065,-0.09402945937806,-0.10968049260952537,0.012479411426799841,12,Random forest,12,6.0,500.0,
0.1976093292236328,0.009629126480258782,0.006833696365356445,0.001979469787640102,,,"{'model__learning_rate': 0.03, 'model__max_depth': 1, 'model__n_estimators': 150}",-0.12735255340627666,-0.13153617409320673,-0.11665838524003534,-0.13813135374258503,-0.11412945229621838,-0.12556158375566445,0.00902067617232449,12,Gradient boosting,1,,150.0,0.03
0.38962831497192385,0.01182026036578704,0.006064510345458985,0.00037020921454573375,,,"{'model__learning_rate': 0.03, 'model__max_depth': 1, 'model__n_estimators': 300}",-0.12071011652491496,-0.12535787024868342,-0.10952599635824306,-0.13109234474015094,-0.10445822971054289,-0.11822891151650705,0.00987743645741162,11,Gradient boosting,1,,300.0,0.03
0.31928448677062987,0.012840548785440923,0.0060828208923339845,0.00036329823474361096,,,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 150}",-0.11832160144987287,-0.12186201980406065,-0.10393713188522319,-0.12888860486974654,-0.10000465098794695,-0.11460280179937003,0.010931353146581379,9,Gradient boosting,2,,150.0,0.03
0.6349843502044678,0.0074770495097944215,0.006413698196411133,0.0004471530630812289,,,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 300}",-0.11474264706792905,-0.12062894744255123,-0.10017859471627236,-0.12967431940449664,-0.0943289753961604,-0.11191069680548194,0.013010251891847369,7,Gradient boosting,2,,300.0,0.03
0.4372760772705078,0.00909059297590515,0.007100439071655274,0.0005565111623158222,,,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 150}",-0.1158031195851315,-0.11949838615642458,-0.09766699228586193,-0.12560075715113425,-0.09365923255275944,-0.11044569754626235,0.012533233331528029,5,Gradient boosting,3,,150.0,0.03
0.8972646713256835,0.030750420942264396,0.009678125381469727,0.005335460914487049,,,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 300}",-0.11375008791300734,-0.11808848411520234,-0.09493692005031493,-0.12501485337717802,-0.08929283415249989,-0.1082166359216405,0.01374564450581989,1,Gradient boosting,3,,300.0,0.03
